baseline_tertile,mean,std,count,se
Low,12.962658482303285,6.206796262106809,11,1.8714194865080613
Mid,12.223424354857436,4.461383620449397,11,1.345157774078909
High,7.338980761587746,5.777637443828214,11,1.7420232341714779
