mz_rt,weight,log2FC,tstat,pval,padj,abs_weight,neglog10_padj
597.3061905_114.3,0.044245451927342,0.265470605059208,2.158522464825032,0.0384936909627368,0.1948593672958418,0.044245451927342,0.7102787119287182
700.6407914_762.795,-0.0442181062323338,-0.3883536450366906,-2.190496898169689,0.0358885436746192,0.1863004018778007,0.0442181062323338,0.7297862082646646
859.6946593_817.4115,-0.044162004013454,-0.2736821075423085,-1.6879949025322096,0.1011367567210962,0.358469962205206,0.044162004013454,0.44554722994059404
612.3326077_105.2745,-0.0439457990330241,-0.3170181110235838,-2.7070040946871283,0.010800743624782,0.0926590110968147,0.0439457990330241,1.0331123391154697
886.5836789_459.4425,0.0438566352229902,0.3448413451664671,2.165828937322091,0.0378839781300395,0.1929715135998888,0.0438566352229902,0.7145067966889637
750.7007838_790.072,-0.0438473854498457,-0.2029208291632691,-2.491265621782592,0.0181053224352119,0.1231137093923463,0.0438473854498457,0.909693583283685
810.6777457_670.471,-0.0437383506496534,-0.2283977342397903,-2.639915167076868,0.0127103655228163,0.0986566466770981,0.0437383506496534,1.0058736502197345
865.642112_648.0895,0.0430012839654799,0.3980345528266966,2.8476984751840586,0.0076311019367281,0.0731688009227462,0.0430012839654799,1.1356740620487673
724.6860912_775.3875,-0.0429786495757111,-0.2697342569967503,-2.6855752052709967,0.0113795848044715,0.0942168765720957,0.0429786495757111,1.0258712973593855
875.6175105_634.2,0.042950240842553,0.2205875367573773,2.2370730365899125,0.0323752459925351,0.1782826046210547,0.042950240842553,0.7488910297110097
855.6801889_670.665,-0.0428385889932435,-0.2060736961244653,-2.88162830429545,0.0070097224708068,0.068010997782233,0.0428385889932435,1.167420853618175
740.6636429_766.8065,-0.0427433818323327,-0.1978932309566953,-2.32397879161952,0.0266350028642641,0.1573274545276519,0.0427433818323327,0.8031954839281684
255.233076_283.2495,-0.0422782603946663,-0.2496687506033616,-1.8817980971014936,0.0689862196117729,0.2868559642020151,0.0422782603946663,0.5423361159990877
873.6345455_638.623,-0.0421290663842511,-0.5426530812065663,-3.078486769286779,0.0042469581703273,0.0509010427767178,0.0421290663842511,1.2932733204621505
309.2803886_388.231,-0.0420661810606994,-0.3155663143627064,-2.1394046691633952,0.0401305473076242,0.2018913336772456,0.0420661810606994,0.6948823230421455
339.3271802_537.2455,0.0418208566314818,0.4471265852235107,1.815237228571231,0.0788699528673163,0.3055357964508687,0.0418208566314818,0.5149379006739471
830.5941772_676.03,0.0417631355225687,0.1706473022699899,2.09673863296557,0.044008255862589,0.2125143497990103,0.0417631355225687,0.6726117393637117
834.5311894_510.5795,-0.0417481673700918,-0.396844386462422,-2.334551967880534,0.0260033567221955,0.1569832276191805,0.0417481673700918,0.8041467459445921
752.7172772_798.871,-0.0416314196884159,-0.1460464075214408,-1.9346736412002612,0.0619124392591597,0.2683970106181659,0.0416314196884159,0.5712223256090994
808.6709829_670.663,-0.0415605445458978,-0.1969324529060313,-2.6583815402309887,0.0121556614082082,0.096713664070032,0.0415605445458978,1.0145121628250613
563.5052417_299.417,-0.0413687215353038,-0.4642622456410454,-1.9108173499430685,0.0650222708252496,0.2774510509035523,0.0413687215353038,0.5568136258660366
