baseline_tertile,mean,std,count,se
Low,1.3292640283951151,1.628239138165083,11,0.4909325718422932
Mid,-0.37162883088625454,1.4369886082148169,11,0.4332683674057786
High,-0.9576351975088605,1.8211019676216667,11,0.5490829028708196
