baseline_tertile,mean,std,count,se
Low,13.518681701744113,4.1514475473320065,11,1.2517085319401322
Mid,9.444899498835728,3.0771454031742027,11,0.9277942479723384
High,6.775259436412662,4.010584379461177,11,1.2092366887939152
