mode,n_subjects,pearson_r,pearson_perm_p,spearman_rho,spearman_perm_p
pos,33,-0.4383503215582877,0.012898710128987101,-0.3415775401069518,0.050994900509949
neg,33,-0.6562411077277257,9.999000099990002e-05,-0.6092914438502672,0.00019998000199980003
combined,33,-0.5384612909940669,0.0018998100189981002,-0.47860962566844906,0.006099390060993901
