mz_rt,weight,log2FC,tstat,pval,padj,abs_weight,neglog10_padj
856.5734225_470.6815,0.0962167686868643,0.828218435553147,5.948525772316265,1.259883773289715e-06,4.681462862855468e-05,0.0962167686868643,4.329618417439921
572.3487961_96.01855,0.0955970899891803,1.1077764680030142,4.808027100759898,3.4691286617792865e-05,0.0006445275882147,0.0955970899891803,3.1907584884688696
750.4945063_241.3985,0.0952572761870458,0.5608674730719604,5.211525706555351,1.0739522510657947e-05,0.0002614518238801,0.0952572761870458,3.5826083241984477
570.3327193_77.3872,0.0948380402438163,1.3212481294998628,4.938855844870301,2.3734666440347634e-05,0.0004787621287681,0.0948380402438163,3.3198802106414185
732.4834155_257.9915,0.0944601257295351,0.7854832257223243,4.768579193864681,3.8890800265371015e-05,0.0007040232048038,0.0944601257295351,3.152413026153115
610.3734044_131.484,0.0942970806610216,0.7315393704272021,4.829345383683146,3.261261711571137e-05,0.0006238579585172,0.0942970806610216,3.204914280276335
412.2105066_44.82875,0.0927622890370696,0.6858767428270334,4.974072082155288,2.1426760213849663e-05,0.0004449203738522,0.0927622890370696,3.3517177065266415
654.4365647_174.175,0.0926663550092132,0.6610291809110419,4.32018559088089,0.0001413397151548,0.0021696669154517,0.0926663550092132,2.6636069333793646
722.4629286_162.2525,0.0910625288237972,0.5520654821213089,5.1583615877926094,1.2536979222278807e-05,0.0002950369110309,0.0910625288237972,3.530123647566736
542.3112289_72.14785,0.0907359981872879,0.7456526747943454,4.544314970573898,7.432020891980441e-05,0.0012797577438385,0.0907359981872879,2.8928722338455786
832.5716772_472.926,0.0901017832792547,1.1596963351797478,5.035177913846124,1.7940044575340504e-05,0.0003838082263694,0.0901017832792547,3.4158857210321556
548.33497_114.867,0.0895987092265556,0.7876001016896252,5.084661551221454,1.5535484636933174e-05,0.0003427516298023,0.0895987092265556,3.4650204714400905
818.592961_452.333,0.0887341634194971,0.798065515327622,4.398680086367502,0.0001129168505724,0.0018118021932764,0.0887341634194971,2.741889218942794
694.46862_189.045,0.0864806555616252,0.7354700443939581,4.059192509449285,0.0002964832339699,0.0039636263194475,0.0864806555616252,2.4019072964298815
